Time,Hari 1 - Wireless,Hari 2  - Wireless,Hari 3  - Wireless
2023-07-07 9:08:13,"26,4","25,71","31,72"
2023-07-07 9:08:15,"25,88","26,19","39,43"
2023-07-07 9:08:18,"32,28","26,16","62,1"
2023-07-07 9:08:20,"43,78","28,86","62,1"
2023-07-07 9:08:23,"25,86","52,03",37
2023-07-07 9:08:25,"43,82","25,82","144,25"
2023-07-07 9:08:28,"47,9","25,68","113,44"
2023-07-07 9:08:30,"29,57","35,25","27,76"
2023-07-07 9:08:33,"89,19","25,7","134,69"
2023-07-07 9:08:35,"30,6","25,48","34,92"
2023-07-07 9:08:38,"34,14","25,58","135,49"
2023-07-07 9:08:40,"43,15","25,84","79,56"
2023-07-07 9:08:43,,"63,98","171,12"
2023-07-07 9:08:45,,"30,08","31,79"
2023-07-07 9:08:48,"41,78","26,25","25,44"
2023-07-07 9:08:50,"34,29","25,45","32,95"
2023-07-07 9:08:53,"34,92","25,99","28,89"
2023-07-07 9:08:55,"28,16","31,38","39,2"
2023-07-07 9:08:58,"67,12","25,75","31,82"
2023-07-07 9:09:00,"42,81","27,53","60,5"
2023-07-07 9:09:03,"195,29","25,48","50,95"
2023-07-07 9:09:05,"57,18","25,97","45,9"
2023-07-07 9:09:08,"34,22","25,25","31,59"
2023-07-07 9:09:10,"32,57","25,54","32,36"
2023-07-07 9:09:13,"28,13","25,88","40,49"
2023-07-07 9:09:15,"34,11","28,87","31,9"
2023-07-07 9:09:18,"55,98","29,37","46,21"
2023-07-07 9:09:20,26,"26,37","58,02"
2023-07-07 9:09:23,"48,81","25,81","64,19"
2023-07-07 9:09:25,"40,71","25,78","41,7"
2023-07-07 9:09:28,"34,44","25,6","128,58"
2023-07-07 9:09:30,"34,51","25,36","35,62"
2023-07-07 9:09:33,"33,2","33,67","34,7"
2023-07-07 9:09:35,"31,39","46,76","45,78"
2023-07-07 9:09:38,"39,87","33,47",1.2
2023-07-07 9:09:40,"27,9","42,57","45,55"
2023-07-07 9:09:43,"33,17","27,22","69,71"
2023-07-07 9:09:45,"32,04","40,41","29,87"
2023-07-07 9:09:48,"28,09","26,21","56,61"
2023-07-07 9:09:50,"34,01",,"30,35"
2023-07-07 9:09:53,"28,03",,"31,15"
2023-07-07 9:09:55,"27,88","55,03","41,96"
2023-07-07 9:09:58,"38,32","25,66",18.2
2023-07-07 9:10:00,"29,99","25,45","26,14"
2023-07-07 9:10:03,"27,03","29,29","28,64"
2023-07-07 9:10:05,"80,44","32,81","29,07"
2023-07-07 9:10:08,"25,74","53,75","62,19"
2023-07-07 9:10:10,"26,88","41,49","39,5"
2023-07-07 9:10:13,"27,32",,"30,61"
2023-07-07 9:10:15,"25,97","29,88","37,63"
2023-07-07 9:10:18,"28,87","25,87","32,57"
2023-07-07 9:10:20,"30,29","29,1","37,42"
2023-07-07 9:10:23,"25,88","25,56","38,28"
2023-07-07 9:10:25,"29,34","25,79","32,47"
2023-07-07 9:10:28,"29,68","25,93","27,38"
2023-07-07 9:10:30,"27,91","25,04","28,75"
2023-07-07 9:10:33,"29,07","44,27","32,47"
2023-07-07 9:10:35,"25,62","26,02","33,86"
2023-07-07 9:10:38,"24,52","25,32","49,15"
2023-07-07 9:10:40,"30,13","30,69","106,26"
2023-07-07 9:10:43,"33,79","95,23","26,73"
2023-07-07 9:10:45,"41,99","26,22","29,81"
2023-07-07 9:10:48,"24,04","30,69","35,75"
2023-07-07 9:10:50,"26,87","25,98","28,62"
2023-07-07 9:10:53,"28,03","26,04","27,11"
2023-07-07 9:10:55,"40,59","26,06","31,46"
2023-07-07 9:10:58,"24,73","26,89",25.1
2023-07-07 9:11:00,"25,37","27,63","25,16"
2023-07-07 9:11:03,"43,82","26,69","25,77"
