Time,Hari 1  - Wireless,Hari 2  - Wireless,Hari 3  - Wireless
2023-07-07 9:51:53,14.06,20.39,26.87
2023-07-07 9:51:55,16.18,31.15,20.03
2023-07-07 9:51:58,23.8,,27.44
2023-07-07 9:52:00,13.28,19.49,20.57
2023-07-07 9:52:03,17.52,16.13,62.77
2023-07-07 9:52:05,17.64,15.48,16.81
2023-07-07 9:52:08,13.26,15.64,596.3
2023-07-07 9:52:10,63.03,16.31,52.98
2023-07-07 9:52:13,15.64,23.7,119.09
2023-07-07 9:52:15,20.54,16.68,93.29
2023-07-07 9:52:18,18.64,15.42,30.87
2023-07-07 9:52:20,38.44,17.99,26.12
2023-07-07 9:52:23,14.1,14.76,142.31
2023-07-07 9:52:25,14.07,31.37,26.21
2023-07-07 9:52:28,44.69,26.39,23.99
2023-07-07 9:52:30,16.12,14.63,27.34
2023-07-07 9:52:33,19.82,14.04,34.36
2023-07-07 9:52:35,13.4,22.15,47.6
2023-07-07 9:52:38,22.81,218.03,25.15
2023-07-07 9:52:40,37.73,25.38,15.4
2023-07-07 9:52:43,17.42,33.78,35.2
2023-07-07 9:52:45,20.48,26.16,14.36
2023-07-07 9:52:48,35.94,26.8,20.09
2023-07-07 9:52:50,21.31,17.55,20.26
2023-07-07 9:52:53,90.35,17.19,34.28
2023-07-07 9:52:55,216.33,15.58,27.07
2023-07-07 9:52:58,35.1,15.15,26.69
2023-07-07 9:53:00,14.51,93.61,
2023-07-07 9:53:03,69.19,16.99,46.11
2023-07-07 9:53:05,19.7,23.06,22.33
2023-07-07 9:53:08,28.01,25.49,19.71
2023-07-07 9:53:10,18.98,20.93,27.82
2023-07-07 9:53:13,47.29,,29.48
2023-07-07 9:53:15,21.63,18.97,40.88
2023-07-07 9:53:18,41.54,18.12,27.13
2023-07-07 9:53:20,40.29,16.44,97.91
2023-07-07 9:53:23,56.87,16.08,42.12
2023-07-07 9:53:25,174.24,15.01,12.4
2023-07-07 9:53:28,17.34,17.42,21.26
2023-07-07 9:53:30,94.67,34.51,79.05
2023-07-07 9:53:33,26.2,15.76,16.04
2023-07-07 9:53:35,20.16,15.21,29.87
2023-07-07 9:53:38,49.18,220.7,19.1
2023-07-07 9:53:40,33.2,233.12,44.92
2023-07-07 9:53:43,19.23,18.85,47.61
2023-07-07 9:53:45,16.91,15.7,21.2
2023-07-07 9:53:48,19.01,,22.97
2023-07-07 9:53:50,26.06,15.9,35.62
2023-07-07 9:53:53,19,20.72,31.63
2023-07-07 9:53:55,15.46,56.75,16.96
2023-07-07 9:53:58,49.09,14.21,14.21
2023-07-07 9:54:00,27.19,22.18,20.34
2023-07-07 9:54:03,28.04,16.63,26.6
2023-07-07 9:54:05,20.78,14.93,22.53
2023-07-07 9:54:08,20.27,23.49,28.47
2023-07-07 9:54:10,14.6,39.01,14.09
2023-07-07 9:54:13,17.6,21.15,17.4
2023-07-07 9:54:15,14.44,16.33,21.41
2023-07-07 9:54:18,16.28,227.63,16.93
2023-07-07 9:54:20,13.08,18.15,33.2
2023-07-07 9:54:23,18.21,15.16,24.92
2023-07-07 9:54:25,14.18,15.6,40.12
2023-07-07 9:54:28,36.26,70.95,19.51
2023-07-07 9:54:30,25.63,15.21,19.14
2023-07-07 9:54:33,17.29,21.92,45.07
2023-07-07 9:54:35,21.79,14.96,22.33
2023-07-07 9:54:38,18.62,16.45,16.17
2023-07-07 9:54:40,38.09,15.84,12.71
2023-07-07 9:54:43,15.68,16.61,16.89
2023-07-07 9:54:45,13.28,16.39,19.72
2023-07-07 9:54:48,67.71,19.65,18.86
2023-07-07 9:54:50,42.5,16.44,22.96
2023-07-07 9:54:53,14.32,14.24,12.77
2023-07-07 9:54:55,15.43,18.32,17.58
2023-07-07 9:54:58,17.97,,39.8
2023-07-07 9:55:00,13.92,19.99,17.86
2023-07-07 9:55:03,12.51,18.86,12.55
2023-07-07 9:55:05,18.51,59.9,36.74
2023-07-07 9:55:08,20.12,16.26,18.39
2023-07-07 9:55:10,13.89,19.01,52.68
2023-07-07 9:55:13,18.05,14.66,87.6
2023-07-07 9:55:15,13.72,16.37,19.6
2023-07-07 9:55:18,24.4,15.6,41.62
2023-07-07 9:55:20,14.36,15.46,32.09
2023-07-07 9:55:23,13.92,14.85,23.9
2023-07-07 9:55:25,24.33,17.27,17.19
2023-07-07 9:55:28,13.84,17.45,26.22
2023-07-07 9:55:30,13.75,18.72,25.36
2023-07-07 9:55:33,16.22,15.48,17.37
2023-07-07 9:55:35,14.84,14.26,24.89
2023-07-07 9:55:38,16.77,18.74,20.48
2023-07-07 9:55:40,28.91,15.45,13.46
2023-07-07 9:55:43,12.46,16.09,16.9
2023-07-07 9:55:45,116.62,23.54,16.84
2023-07-07 9:55:48,20.39,15.69,17.9
2023-07-07 9:55:50,16.03,16.84,24.62
2023-07-07 9:55:53,22.49,212.82,40.12
2023-07-07 9:55:55,15.31,17.8,17.2
2023-07-07 9:55:58,17.56,17.29,37.84
2023-07-07 9:56:00,17.31,19.15,12.68
2023-07-07 9:56:03,19.4,15.98,12.03
2023-07-07 9:56:05,14.7,20.03,42.03
2023-07-07 9:56:08,20.38,15.23,18.4
2023-07-07 9:56:10,13.36,14.23,27.49
2023-07-07 9:56:13,19.4,14.84,30.47
2023-07-07 9:56:15,15.22,14.51,19.87
2023-07-07 9:56:18,62.27,17.75,20.06
2023-07-07 9:56:20,16.83,19.36,43.76
2023-07-07 9:56:23,15.81,19.03,19.36
2023-07-07 9:56:25,41.56,93.28,19.61
2023-07-07 9:56:28,21.85,24.6,18.44
2023-07-07 9:56:30,24.48,27.21,17.79
2023-07-07 9:56:33,14.97,20.49,23.35
2023-07-07 9:56:35,15.46,16.45,17.09
2023-07-07 9:56:38,22.02,16.78,27.99
2023-07-07 9:56:40,20.64,24.63,23.5
2023-07-07 9:56:43,28.59,18.96,24.99
2023-07-07 9:56:45,19.26,16.77,22.31
2023-07-07 9:56:48,28.96,,14.75
2023-07-07 9:56:50,12.75,18.12,13.12
2023-07-07 9:56:53,,,11.91
2023-07-07 9:56:55,,,
2023-07-07 9:56:58,,,
2023-07-07 9:57:00,,,
2023-07-07 9:57:03,,,
2023-07-07 9:57:05,,,
2023-07-07 9:57:08,,,
2023-07-07 9:57:10,,,
2023-07-07 9:57:13,,,
2023-07-07 9:57:15,,,
2023-07-07 9:57:18,,,
2023-07-07 9:57:20,,,
2023-07-07 9:57:23,,,
2023-07-07 9:57:25,,,
2023-07-07 9:57:28,,,
2023-07-07 9:57:30,,,
2023-07-07 9:57:33,,,
2023-07-07 9:57:35,,,
2023-07-07 9:57:38,,,
2023-07-07 9:57:40,,,
2023-07-07 9:57:43,,,
2023-07-07 9:57:45,,,
2023-07-07 9:57:48,,,
2023-07-07 9:57:50,,,
2023-07-07 9:57:53,,,
2023-07-07 9:57:55,,,
2023-07-07 9:57:58,,,
2023-07-07 9:58:00,,,
2023-07-07 9:58:03,,,
2023-07-07 9:58:05,,,
2023-07-07 9:58:08,,,
2023-07-07 9:58:10,,,
2023-07-07 9:58:13,,,
2023-07-07 9:58:15,,,
2023-07-07 9:58:18,,,
2023-07-07 9:58:20,,,
2023-07-07 9:58:23,,,
2023-07-07 9:58:25,,,
2023-07-07 9:58:28,,,
2023-07-07 9:58:30,,,
2023-07-07 9:58:33,,,
2023-07-07 9:58:35,,,
2023-07-07 9:58:38,,,
2023-07-07 9:58:40,,,
2023-07-07 9:58:43,,,
2023-07-07 9:58:45,,,
2023-07-07 9:58:48,,,
2023-07-07 9:58:50,,,
2023-07-07 9:58:53,,,
2023-07-07 9:58:55,,,
2023-07-07 9:58:58,,,
2023-07-07 9:59:00,,,
2023-07-07 9:59:03,,,
2023-07-07 9:59:05,,,
2023-07-07 9:59:08,,,
2023-07-07 9:59:10,,,
2023-07-07 9:59:13,,,
2023-07-07 9:59:15,,,
2023-07-07 9:59:18,,,
2023-07-07 9:59:20,,,
2023-07-07 9:59:23,,,
2023-07-07 9:59:25,,,
2023-07-07 9:59:28,,,
2023-07-07 9:59:30,,,
2023-07-07 9:59:33,,,
2023-07-07 9:59:35,,,
2023-07-07 9:59:38,,,
2023-07-07 9:59:40,,,
2023-07-07 9:59:43,,,
2023-07-07 9:59:45,,,
2023-07-07 9:59:48,,,
2023-07-07 9:59:50,,,
2023-07-07 9:59:53,,,
2023-07-07 9:59:55,,,
2023-07-07 9:59:58,,,
2023-07-07 10:00:00,,,
2023-07-07 10:00:03,,,
2023-07-07 10:00:05,,,
2023-07-07 10:00:08,,,
2023-07-07 10:00:10,,,
2023-07-07 10:00:13,,,
2023-07-07 10:00:15,,,
2023-07-07 10:00:18,,,
2023-07-07 10:00:20,,,
2023-07-07 10:00:23,,,
2023-07-07 10:00:25,,,
2023-07-07 10:00:28,,,
2023-07-07 10:00:30,,,
2023-07-07 10:00:33,,,
2023-07-07 10:00:35,,,
2023-07-07 10:00:38,,,
2023-07-07 10:00:40,,,
2023-07-07 10:00:43,,,
2023-07-07 10:00:45,,,
2023-07-07 10:00:48,,,
2023-07-07 10:00:50,,,
2023-07-07 10:00:53,,,
2023-07-07 10:00:55,,,
2023-07-07 10:00:58,,,
2023-07-07 10:01:00,,,
2023-07-07 10:01:03,,,
2023-07-07 10:01:05,,,
2023-07-07 10:01:08,,,
2023-07-07 10:01:10,,,
2023-07-07 10:01:13,,,
2023-07-07 10:01:15,,,
2023-07-07 10:01:18,,,
2023-07-07 10:01:20,,,
2023-07-07 10:01:23,,,
2023-07-07 10:01:25,,,
2023-07-07 10:01:28,,,
2023-07-07 10:01:30,,,
2023-07-07 10:01:33,,,
2023-07-07 10:01:35,,,
2023-07-07 10:01:38,,,
2023-07-07 10:01:40,,,
2023-07-07 10:01:43,,,
2023-07-07 10:01:45,,,
2023-07-07 10:01:48,,,
2023-07-07 10:01:50,,,
