Time,Hari 1 - FO,Hari 2 - FO,Hari 3 - FO
2023-07-07 9:51:53,3.7,2.45,20.1
2023-07-07 9:51:55,4.1,3.1,2.1
2023-07-07 9:51:58,2.1,1.2,2.76
2023-07-07 9:52:00,3.9,81.89,02.01
2023-07-07 9:52:03,06.01,01.01,5.93
2023-07-07 9:52:05,10.55,89.74,06.01
2023-07-07 9:52:08,02.01,7.1,3.1
2023-07-07 9:52:10,2.1,3.1,4.77
2023-07-07 9:52:13,2.67,4.27,4.64
2023-07-07 9:52:15,4.95,8.7,4.26
2023-07-07 9:52:18,3.22,4.78,6.03
2023-07-07 9:52:20,5.22,10.6,4.64
2023-07-07 9:52:23,16.84,3.42,6.44
2023-07-07 9:52:25,5.83,31.09,4.08
2023-07-07 9:52:28,3.04,3.22,11.47
2023-07-07 9:52:30,9.57,2.31,5.25
2023-07-07 9:52:33,3.22,10.2,40.1
2023-07-07 9:52:35,3.48,4.77,3.73
2023-07-07 9:52:38,4.76,4.85,3.59
2023-07-07 9:52:40,4.03,5.15,3.71
2023-07-07 9:52:43,5.73,0.24,7.49
2023-07-07 9:52:45,2.79,4.47,4.77
2023-07-07 9:52:48,3.8,3.93,3.13
2023-07-07 9:52:50,4.82,4.04,16.16
2023-07-07 9:52:53,4.53,7.22,2.89
2023-07-07 9:52:55,3.28,93.44,3.79
2023-07-07 9:52:58,3.93,6.39,6.55
2023-07-07 9:53:00,5.63,90.41,3.32
2023-07-07 9:53:03,4.25,11.66,49.67
2023-07-07 9:53:05,3.65,56.21,3.25
2023-07-07 9:53:08,3.5,11.9,20.99
2023-07-07 9:53:10,12.38,10.18,4.41
2023-07-07 9:53:13,3.52,4.28,2.43
2023-07-07 9:53:15,3.61,4.77,4.5
2023-07-07 9:53:18,3.32,4.85,4.93
2023-07-07 9:53:20,3.05,4.1,5.44
2023-07-07 9:53:23,3.8,4.42,3.62
2023-07-07 9:53:25,4.85,13.1,3.64
2023-07-07 9:53:28,7.77,4.81,4.51
2023-07-07 9:53:30,6.37,4.96,4.46
2023-07-07 9:53:33,4.1,01.01,6.64
2023-07-07 9:53:35,3.54,62.92,4.51
2023-07-07 9:53:38,3.81,12.27,4.76
2023-07-07 9:53:40,3.78,4.52,4.08
2023-07-07 9:53:43,5.52,4.33,32.55
2023-07-07 9:53:45,30.54,3.94,5.5
2023-07-07 9:53:48,3.34,9.63,3.43
2023-07-07 9:53:50,3.8,3.47,4.08
2023-07-07 9:53:53,3.14,10.01,3.52
2023-07-07 9:53:55,3.53,81.8,5.3
2023-07-07 9:53:58,5.61,52.13,5.04
2023-07-07 9:54:00,3.5,101.23,44.59
2023-07-07 9:54:03,3.93,2.1,5.59
2023-07-07 9:54:05,3.41,213.2,3.68
2023-07-07 9:54:08,3.79,27.53,3.69
2023-07-07 9:54:10,4.62,18.54,6.62
2023-07-07 9:54:13,4.47,2.81,11.47
2023-07-07 9:54:15,7.73,3.65,3.85
2023-07-07 9:54:18,2.96,18.2,3.82
2023-07-07 9:54:20,3.05,4.56,3.27
2023-07-07 9:54:23,3.28,4.59,5.64
2023-07-07 9:54:25,3.83,5.6,94.74
2023-07-07 9:54:28,9.44,5.1,6.2
2023-07-07 9:54:30,5.28,26.06,3.78
2023-07-07 9:54:33,3.11,6.55,4.19
2023-07-07 9:54:35,5.13,79.59,1.58
2023-07-07 9:54:38,4.12,39.95,4.76
2023-07-07 9:54:40,30.7,62.02,3.42
2023-07-07 9:54:43,10.56,5.98,32.93
2023-07-07 9:54:45,10.03,24.3,3.46
2023-07-07 9:54:48,3.12,21.2,3.41
2023-07-07 9:54:50,2.62,13.02,11.17
2023-07-07 9:54:53,20.93,208.91,16.88
2023-07-07 9:54:55,4.27,29.12,5.94
2023-07-07 9:54:58,11.38,20.26,3.61
2023-07-07 9:55:00,3.85,5.1,40.15
