Time,Hari 1 - FO,Hari 2 - FO,Hari 3 - FO,Hari 1  - Wireless,Hari 2  - Wireless,Hari 3  - Wireless
2023-07-07 9:51:53,3.7,2.45,20.1,14.06,20.39,26.87
2023-07-07 9:51:55,4.1,3.1,2.1,16.18,31.15,20.03
2023-07-07 9:51:58,2.1,1.2,2.76,23.8,,27.44
2023-07-07 9:52:00,3.9,81.89,02.01,13.28,19.49,20.57
2023-07-07 9:52:03,06.01,01.01,5.93,17.52,16.13,62.77
2023-07-07 9:52:05,10.55,89.74,06.01,17.64,15.48,16.81
2023-07-07 9:52:08,02.01,7.1,3.1,13.26,15.64,596.3
2023-07-07 9:52:10,2.1,3.1,4.77,63.03,16.31,52.98
2023-07-07 9:52:13,2.67,4.27,4.64,15.64,23.7,119.09
2023-07-07 9:52:15,4.95,8.7,4.26,20.54,16.68,93.29
2023-07-07 9:52:18,3.22,4.78,6.03,18.64,15.42,30.87
2023-07-07 9:52:20,5.22,10.6,4.64,38.44,17.99,26.12
2023-07-07 9:52:23,16.84,3.42,6.44,14.1,14.76,142.31
2023-07-07 9:52:25,5.83,31.09,4.08,14.07,31.37,26.21
2023-07-07 9:52:28,3.04,3.22,11.47,44.69,26.39,23.99
2023-07-07 9:52:30,9.57,2.31,5.25,16.12,14.63,27.34
2023-07-07 9:52:33,3.22,10.2,40.1,19.82,14.04,34.36
2023-07-07 9:52:35,3.48,4.77,3.73,13.4,22.15,47.6
2023-07-07 9:52:38,4.76,4.85,3.59,22.81,218.03,25.15
2023-07-07 9:52:40,4.03,5.15,3.71,37.73,25.38,15.4
2023-07-07 9:52:43,5.73,0.24,7.49,17.42,33.78,35.2
2023-07-07 9:52:45,2.79,4.47,4.77,20.48,26.16,14.36
2023-07-07 9:52:48,3.8,3.93,3.13,35.94,26.8,20.09
2023-07-07 9:52:50,4.82,4.04,16.16,21.31,17.55,20.26
2023-07-07 9:52:53,4.53,7.22,2.89,90.35,17.19,34.28
