Time,Hop1
2023-07-13 14:19:05,2.04
2023-07-13 14:19:07,2.13
2023-07-13 14:19:10,1.92
2023-07-13 14:19:12,1.72
2023-07-13 14:19:15,7.35
2023-07-13 14:19:17,3.15
2023-07-13 14:19:20,1.73
2023-07-13 14:19:22,2.79
2023-07-13 14:19:25,6.21
2023-07-13 14:19:27,11.03
2023-07-13 14:19:30,7.9
2023-07-13 14:19:32,6.53
2023-07-13 14:19:35,11.71
2023-07-13 14:19:37,7.68
2023-07-13 14:19:40,4.2
2023-07-13 14:19:42,15.28
2023-07-13 14:19:45,16.97
2023-07-13 14:19:47,99.89
2023-07-13 14:19:50,6.35
2023-07-13 14:19:52,5.83
2023-07-13 14:19:55,4.31
2023-07-13 14:19:57,2.57
2023-07-13 14:20:00,8.93
2023-07-13 14:20:02,1.68
2023-07-13 14:20:05,4.01
2023-07-13 14:20:07,3.53
2023-07-13 14:20:10,4.83
2023-07-13 14:20:12,4.89
2023-07-13 14:20:15,1.92
2023-07-13 14:20:17,72.08
2023-07-13 14:20:20,2.16
2023-07-13 14:20:22,108.49
2023-07-13 14:20:25,4.38
2023-07-13 14:20:27,15.9
2023-07-13 14:20:30,3.07
2023-07-13 14:20:32,6.84
2023-07-13 14:20:35,9.45
2023-07-13 14:20:37,5
2023-07-13 14:20:40,6.15
2023-07-13 14:20:42,8.37
2023-07-13 14:20:45,5.02
2023-07-13 14:20:47,3.78
2023-07-13 14:20:50,202.68
2023-07-13 14:20:52,5.11
2023-07-13 14:20:55,3.23
2023-07-13 14:20:57,3.4
2023-07-13 14:21:00,7.58
2023-07-13 14:21:02,5.98
2023-07-13 14:21:05,2.91
