Time,Hop1,Hop2
2023-07-13 14:19:05,2.04,8.76
2023-07-13 14:19:07,2.13,12.13
2023-07-13 14:19:10,1.92,6.12
2023-07-13 14:19:12,1.72,17.28
2023-07-13 14:19:15,7.35,24.98
2023-07-13 14:19:17,3.15,12.46
2023-07-13 14:19:20,1.73,9.47
2023-07-13 14:19:22,2.79,5.08
2023-07-13 14:19:25,6.21,12.24
2023-07-13 14:19:27,11.03,25.72
2023-07-13 14:19:30,7.9,35.81
2023-07-13 14:19:32,6.53,8.6
2023-07-13 14:19:35,11.71,65.55
2023-07-13 14:19:37,7.68,10.12
2023-07-13 14:19:40,4.2,12.77
2023-07-13 14:19:42,15.28,15.75
2023-07-13 14:19:45,16.97,53.39
2023-07-13 14:19:47,99.89,137.7
2023-07-13 14:19:50,6.35,8.58
2023-07-13 14:19:52,5.83,5.63
2023-07-13 14:19:55,4.31,10.53
2023-07-13 14:19:57,2.57,7.53
2023-07-13 14:20:00,8.93,3.13
2023-07-13 14:20:02,1.68,17.05
2023-07-13 14:20:05,4.01,5.07
2023-07-13 14:20:07,3.53,10.47
2023-07-13 14:20:10,4.83,6.54
2023-07-13 14:20:12,4.89,22.08
2023-07-13 14:20:15,1.92,5.78
2023-07-13 14:20:17,72.08,10.81
2023-07-13 14:20:20,2.16,2.74
2023-07-13 14:20:22,108.49,131.55
2023-07-13 14:20:25,4.38,22.64
2023-07-13 14:20:27,15.9,17.27
2023-07-13 14:20:30,3.07,20.39
2023-07-13 14:20:32,6.84,41.18
2023-07-13 14:20:35,9.45,5.48
2023-07-13 14:20:37,5,12.56
2023-07-13 14:20:40,6.15,17.9
2023-07-13 14:20:42,8.37,35.44
2023-07-13 14:20:45,5.02,10.17
2023-07-13 14:20:47,3.78,9.93
2023-07-13 14:20:50,202.68,230.18
2023-07-13 14:20:52,5.11,35.45
2023-07-13 14:20:55,3.23,18.01
2023-07-13 14:20:57,3.4,26.93
2023-07-13 14:21:00,7.58,54.82
2023-07-13 14:21:02,5.98,11.32
2023-07-13 14:21:05,2.91,23.82
